Date,Adj Close,Close,High,Low,Open,Volume
22/03/2018,1798.550049,1798.550049,1813.640015,1796.75,1809,10247600
23/03/2018,1794.209961,1794.209961,1794.209961,1779.72998,1780.880005,10877200
26/03/2018,1801.099976,1801.099976,1801.5,1792.98999,1797.27002,7923100
27/03/2018,1802.579956,1802.579956,1810.530029,1799.880005,1807.790039,10512600
28/03/2018,1784.98999,1784.98999,1802.709961,1782.069946,1797.839966,10546200
29/03/2018,1766.920044,1766.920044,1789,1756.619995,1783.719971,12447900
30/03/2018,1776.26001,1776.26001,1777.060059,1753.930054,1774.339966,13025500
02/04/2018,1782.280029,1782.280029,1783.72998,1771.579956,1774.719971,9089300
03/04/2018,1765.23999,1765.23999,1779.040039,1764.180054,1773.699951,11079600
04/04/2018,1724.97998,1724.97998,1771.579956,1724.900024,1767.459961,17115100
05/04/2018,1739.920044,1739.920044,1740.839966,1724.880005,1735.73999,12908700
09/04/2018,1751.27002,1751.27002,1752.910034,1735.380005,1737.079956,11428300
10/04/2018,1760.949951,1760.949951,1761.76001,1744.72998,1757,11310400
11/04/2018,1763.219971,1763.219971,1770.469971,1756.400024,1763.310059,10382100
12/04/2018,1767.170044,1767.170044,1770.01001,1757.76001,1764.199951,9070800
17/04/2018,1755.530029,1755.530029,1768.380005,1752.430054,1766.819946,9349600
18/04/2018,1771.560059,1771.560059,1772.27002,1760.670044,1761.829956,10750000
19/04/2018,1794.939941,1794.939941,1795.300049,1776.810059,1778.199951,13705300
20/04/2018,1801.280029,1801.280029,1805.72998,1787.949951,1797.310059,12670600
23/04/2018,1790.140015,1790.140015,1805.780029,1789.02002,1800.780029,12341900
24/04/2018,1788.199951,1788.199951,1803.209961,1784.47998,1796.5,13645500
25/04/2018,1779.52002,1779.52002,1787,1772.349976,1781.280029,12475100
26/04/2018,1773.199951,1773.199951,1785.280029,1770.339966,1780.01001,11714400
27/04/2018,1778.02002,1778.02002,1779.800049,1767.119995,1777.380005,11069100
30/04/2018,1780.109985,1780.109985,1784.5,1776.939941,1782.099976,9936900
02/05/2018,1791.130005,1791.130005,1791.140015,1771.650024,1777.27002,11082900
03/05/2018,1790.800049,1790.800049,1797.560059,1786,1786.550049,12275400
04/05/2018,1779.869995,1779.869995,1792.219971,1777.099976,1786.869995,11943700
07/05/2018,1779.800049,1779.800049,1789.77002,1776.319946,1785.650024,9977200
08/05/2018,1760.25,1760.25,1782.079956,1756.719971,1780.48999,13720200
09/05/2018,1756.900024,1756.900024,1763.25,1751.219971,1761.189941,12670600
10/05/2018,1746.890015,1746.890015,1763.060059,1744.550049,1762.329956,12550300
11/05/2018,1765.930054,1765.930054,1765.939941,1746.030029,1749.939941,22326700
14/05/2018,1773.099976,1773.099976,1774.819946,1767.22998,1770.319946,15512000
15/05/2018,1766.859985,1766.859985,1774.709961,1759.219971,1773.410034,15128500
16/05/2018,1750.619995,1750.619995,1761.060059,1747.319946,1757.900024,13969000
17/05/2018,1751.199951,1751.199951,1757.969971,1745.449951,1752.23999,14037100
18/05/2018,1754.170044,1754.170044,1755.530029,1745.900024,1752.569946,11684800
21/05/2018,1768.310059,1768.310059,1770.130005,1758.469971,1761.040039,12155000
22/05/2018,1760.709961,1760.709961,1771.160034,1754.819946,1769.22998,12234700
23/05/2018,1753.599976,1753.599976,1761.609985,1747.75,1756.199951,24691300
24/05/2018,1732.51001,1732.51001,1751.040039,1729.949951,1747.170044,14240500
25/05/2018,1741.209961,1741.209961,1741.22998,1725.060059,1735.949951,12345500
28/05/2018,1734.540039,1734.540039,1738.920044,1729.660034,1735.810059,11840800
30/05/2018,1725.140015,1725.140015,1726.650024,1711.72998,1717.5,15882900
31/05/2018,1726.969971,1726.969971,1734.280029,1720.310059,1730.02002,16041800
01/06/2018,1719.819946,1719.819946,1729.880005,1714.619995,1726.849976,16834600
04/06/2018,1721.290039,1721.290039,1724.709961,1715.819946,1718.920044,14995800
05/06/2018,1732.709961,1732.709961,1734.319946,1710.810059,1722.380005,15586200
06/06/2018,1738.699951,1738.699951,1744.47998,1731.97998,1737.22998,12705300
07/06/2018,1733.050049,1733.050049,1746.5,1733.01001,1743.630005,11526300
08/06/2018,1722.040039,1722.040039,1736,1721.880005,1735.780029,10466700
11/06/2018,1723.109985,1723.109985,1727.630005,1716.25,1723.800049,9196100
12/06/2018,1727.290039,1727.290039,1735.839966,1724.709961,1725.910034,13788900
13/06/2018,1718.339966,1718.339966,1728.540039,1716.380005,1726.469971,10213500
14/06/2018,1709.859985,1709.859985,1715.650024,1699.660034,1714.52002,12043900
15/06/2018,1704.819946,1704.819946,1711.400024,1695.390015,1706.52002,12041100
18/06/2018,1679.680054,1679.680054,1695.439941,1679.47998,1694.23999,10294500
19/06/2018,1639.540039,1639.540039,1674.280029,1633.719971,1667.469971,16028600
20/06/2018,1664.26001,1664.26001,1665.27002,1640.130005,1647.219971,11881500
21/06/2018,1634.439941,1634.439941,1664.969971,1629.26001,1663.630005,12472400
22/06/2018,1634.97998,1634.97998,1648.73999,1628.160034,1641.579956,12834200
25/06/2018,1622.280029,1622.280029,1646.369995,1621.119995,1641.02002,10432700
26/06/2018,1623.97998,1623.97998,1629.02002,1608.23999,1615.790039,11335300
27/06/2018,1618.660034,1618.660034,1638.72998,1615.380005,1631.390015,12532800
28/06/2018,1599.540039,1599.540039,1624.969971,1599.439941,1623.670044,14053400
29/06/2018,1595.579956,1595.579956,1609.859985,1584.680054,1604.51001,13846200
02/07/2018,1607.27002,1607.27002,1607.410034,1586.339966,1597.01001,12098300
03/07/2018,1626.619995,1626.619995,1628.300049,1600.709961,1607.199951,15296900
04/07/2018,1629.199951,1629.199951,1632.430054,1615.900024,1625.170044,14475600
05/07/2018,1601.420044,1601.420044,1628.790039,1596.550049,1626.780029,13751100
06/07/2018,1614.76001,1614.76001,1618.359985,1587.939941,1598.76001,15559400
09/07/2018,1622.959961,1622.959961,1629.209961,1620.920044,1626.109985,10823300
10/07/2018,1643.599976,1643.599976,1643.76001,1617.51001,1629.01001,13393400
11/07/2018,1636.630005,1636.630005,1641.339966,1628.030029,1631.630005,11550700
12/07/2018,1640.930054,1640.930054,1646.119995,1633.530029,1634.72998,12133600
13/07/2018,1643.52002,1643.52002,1649.660034,1639.48999,1645.329956,10420500
16/07/2018,1627.689941,1627.689941,1640.73999,1623.420044,1638.349976,9962200
17/07/2018,1626.069946,1626.069946,1629.180054,1616.589966,1624.680054,11194700
18/07/2018,1635.849976,1635.849976,1638.52002,1630.040039,1632.170044,10143300
19/07/2018,1646.890015,1646.890015,1650.849976,1637.199951,1641.219971,10075800
20/07/2018,1671.060059,1671.060059,1674.319946,1648.439941,1651.359985,15743100
23/07/2018,1675.75,1675.75,1681.73999,1665.920044,1672.109985,12533900
24/07/2018,1674.219971,1674.219971,1686.810059,1667.949951,1684.199951,14042700
25/07/2018,1690.079956,1690.079956,1695.199951,1678.089966,1678.630005,14299600
26/07/2018,1701.869995,1701.869995,1702.300049,1689.689941,1700.530029,11820100
